Month,Date,Destination,Category,Origin,Destination_Long,Destination_Lat,Origin_Long,Origin_Lat,Distance,Transportation Cost,Entry Cost,Average Price,Horse Drain
10,21.10.2022,Linz-Ebelsberg,CSN-B*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,200,100,-15
10,28.10.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
11,04.11.2022,Stadl Paura,CSN-B*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,200,100,-15
11,11.11.2022,Stadl Paura,CSN-B*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,200,100,-15
11,25.11.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
2,19.02.2022,Tulln an der Donau,CSN-C,Zwentendorf,16.0567744,48.3311686,16.4330201,48.6106026,55.9459,62.2677867,150,50,-10
3,12.03.2022,Tulln,CSN-C,Zwentendorf,16.0567744,48.3311686,16.4330201,48.6106026,55.9459,62.2677867,150,50,-10
3,19.03.2022,St. Margarethen-Stückler,CSN-C,Zwentendorf,14.813442095989808,46.85983155,16.4330201,48.6106026,328.3924,365.5007412,150,50,-10
3,19.03.2022,Allhartsberg,CSN-C,Zwentendorf,14.80613386465346,48.0322919,16.4330201,48.6106026,179.4172,199.6913436,150,50,-10
3,26.03.2022,Gniebing-Feldbach,CSN-C,Zwentendorf,15.8534965,46.9632345,16.4330201,48.6106026,236.432,263.148816,150,50,-10
4,02.04.2022,Hetzmannsdorf,CSN-C,Zwentendorf,12.5266104,49.3525215,16.4330201,48.6106026,456.0788,507.61570439999997,150,50,-10
4,09.04.2022,Gniebing-Feldbach,CSN-C,Zwentendorf,15.8534965,46.9632345,16.4330201,48.6106026,236.432,263.148816,150,50,-10
4,16.04.2022,Aspang,CSN-C,Zwentendorf,125.0476294,6.0325432,16.4330201,48.6106026,12301.6184,13691.701279199999,150,50,-10
4,17.04.2022,Sachendorf,CSN-C,Zwentendorf,14.8000215,47.2228104,16.4330201,48.6106026,255.9841,284.9103033,150,50,-10
4,23.04.2022,Auhof Neufeld,CSN-C,Zwentendorf,16.3764014,47.8677623,16.4330201,48.6106026,112.1142,124.7831046,150,50,-10
4,23.04.2022,Altenfelden,CSN-C,Zwentendorf,13.9690173,48.4853254,16.4330201,48.6106026,262.2808,291.9185304,150,50,-10
4,30.04.2022,Bad Fischau,CSN-C,Zwentendorf,16.1655929,47.8303476,16.4330201,48.6106026,115.5052,128.5572876,150,50,-10
5,01.05.2022,Bürs,CSN-C,Zwentendorf,9.795892015661218,47.1254977,16.4330201,48.6106026,702.703,782.108439,150,50,-10
5,07.05.2022,Hetzmannsdorf,CSN-C,Zwentendorf,12.5266104,49.3525215,16.4330201,48.6106026,456.0788,507.61570439999997,150,50,-10
5,08.05.2022,Waizenkirchen,CSN-C,Zwentendorf,13.8570723,48.329977,16.4330201,48.6106026,265.7341,295.7620533,150,50,-10
5,14.05.2022,Waldzell,CSN-C,Zwentendorf,13.4280634,48.1351134,16.4330201,48.6106026,293.0111,326.1213543,150,50,-10
5,14.05.2022,Altach,CSN-C,Zwentendorf,9.6518728,47.3544962,16.4330201,48.6106026,662.0204,736.8287052,150,50,-10
5,20.05.2022,Telfs,CSN-C,Zwentendorf,11.071515,47.3046511,16.4330201,48.6106026,549.049,611.091537,150,50,-10
5,21.05.2022,St. Pölten-Hart,CSN-C,Zwentendorf,15.9249601,48.1693383,16.4330201,48.6106026,81.6897,90.9206361,150,50,-10
5,21.05.2022,Dachberg,CSN-C,Zwentendorf,9.890675,50.7079077,16.4330201,48.6106026,769.5081,856.4625153,150,50,-10
5,21.05.2022,Jettsdorf,CSN-C,Zwentendorf,15.7566733,48.4060993,16.4330201,48.6106026,77.38210000000001,86.12627730000001,150,50,-10
5,28.05.2022,Edelhof-Zwettl,CSN-C,Zwentendorf,15.2224376,48.6063215,16.4330201,48.6106026,109.0092,121.32723960000001,150,50,-10
5,28.05.2022,Klagenfurt,CSN-C,Zwentendorf,14.3079604,46.6228162,16.4330201,48.6106026,384.6474,428.11255620000003,150,50,-10
5,29.05.2022,Klagenfurt,CSN-C,Zwentendorf,14.3079604,46.6228162,16.4330201,48.6106026,384.6474,428.11255620000003,150,50,-10
5,29.05.2022,Bad Ischl,CSN-C,Zwentendorf,13.6239333,47.7115299,16.4330201,48.6106026,312.5376,347.85434879999997,150,50,-10
6,03.06.2022,Tillmitsch,CSN-C,Zwentendorf,15.516150159301873,46.81006995,16.4330201,48.6106026,283.147,315.142611,150,50,-10
6,04.06.2022,Hatzenbach,CSN-C,Zwentendorf,6.9391462,50.3379371,16.4330201,48.6106026,925.6781,1030.2797252999999,150,50,-10
6,11.06.2022,Bludenz,CSN-C,Zwentendorf,9.8219314,47.153037,16.4330201,48.6106026,694.537,773.019681,150,50,-10
6,11.06.2022,Schöder,CSN-C,Zwentendorf,14.1119365,47.1823383,16.4330201,48.6106026,319.88640000000004,356.03356320000006,150,50,-10
6,11.06.2022,Ampflwang,CSN-C,Zwentendorf,13.5628099,48.0870026,16.4330201,48.6106026,291.3647,324.2889111,150,50,-10
6,11.06.2022,Neumarkt/M.,CSN-C,Zwentendorf,8.5842997,50.1076781,16.4330201,48.6106026,770.7703,857.8673439,150,50,-10
6,11.06.2022,Tullnerbach,CSN-C,Zwentendorf,16.092482607635688,48.2189083,16.4330201,48.6106026,80.4101,89.4964413,150,50,-10
6,12.06.2022,Axams,CSN-C,Zwentendorf,11.279297,47.2307532,16.4330201,48.6106026,532.4567,592.6243070999999,150,50,-10
6,16.06.2022,Deutschlandsberg,CSN-C,Zwentendorf,15.2137799,46.8146272,16.4330201,48.6106026,290.7883,323.6473779,150,50,-10
6,16.06.2022,St. Pantaleon-Erla,CSN-C,Zwentendorf,14.56941588427054,48.20385445,16.4330201,48.6106026,205.0116,228.17791079999998,150,50,-10
6,17.06.2022,Zell am See,CSN-C,Zwentendorf,12.7963165,47.3239636,16.4330201,48.6106026,419.8067,467.2448571,150,50,-10
6,18.06.2022,Heidenreichstein,CSN-C,Zwentendorf,15.1230155,48.8657996,16.4330201,48.6106026,118.1042,131.44997460000002,150,50,-10
6,25.06.2022,Hollabrunn,CSN-C,Zwentendorf,16.071909806521816,48.54884285,16.4330201,48.6106026,35.6831,39.71529030000001,150,50,-10
7,02.07.2022,Thal,CSN-C,Zwentendorf,15.3549817,47.0792405,16.4330201,48.6106026,261.5117,291.0625221,150,50,-10
7,09.07.2022,Kufstein,CSN-C,Zwentendorf,12.1692134,47.582996,16.4330201,48.6106026,447.6857,498.2741841,150,50,-10
7,09.07.2022,Passail,CSN-C,Zwentendorf,15.515058,47.2819214,16.4330201,48.6106026,253.6674,282.3318162,150,50,-10
7,16.07.2022,Ebenfurth,CSN-C,Zwentendorf,16.372311,47.8774622,16.4330201,48.6106026,108.4233,120.6751329,150,50,-10
7,23.07.2022,Eberstalzell,CSN-C,Zwentendorf,13.9814852,48.0433366,16.4330201,48.6106026,250.2639,278.5437207,150,50,-10
7,30.07.2022,Gresten,CSN-C,Zwentendorf,15.02205847037754,47.976518,16.4330201,48.6106026,179.0009,199.2280017,150,50,-10
7,30.07.2022,Klaus,CSN-C,Zwentendorf,9.647796,47.3077586,16.4330201,48.6106026,667.7675,743.2252275000001,150,50,-10
8,06.08.2022,St. Ruprecht an der Raab,CSN-C,Zwentendorf,15.6633027,47.1531781,16.4330201,48.6106026,240.6853,267.8827389,150,50,-10
8,06.08.2022,Altenmarkt,CSN-C,Zwentendorf,15.983628913160064,48.03904005,16.4330201,48.6106026,112.6925,125.42675249999999,150,50,-10
8,06.08.2022,Reichenau,CSN-C,Zwentendorf,9.059202239614567,47.69563725,16.4330201,48.6106026,732.4785,815.2485705,150,50,-10
8,20.08.2022,Langenegg,CSN-C,Zwentendorf,9.899965329612469,47.4676989,16.4330201,48.6106026,668.0788,743.5717044,150,50,-10
8,27.08.2022,Thüringen,CSN-C,Zwentendorf,11.0377839,50.9014721,16.4330201,48.6106026,633.7846999999999,705.4023710999999,150,50,-10
8,27.08.2022,Wendling,CSN-C,Zwentendorf,13.6658144,48.2310539,16.4330201,48.6106026,277.8072,309.1994136,150,50,-10
9,09.09.2022,Seefeld,CSN-C,Zwentendorf,11.1867187,47.3289241,16.4330201,48.6106026,542.9478,604.3009014,150,50,-10
9,09.09.2022,Tillmitsch,CSN-C,Zwentendorf,15.516150159301873,46.81006995,16.4330201,48.6106026,283.147,315.142611,150,50,-10
9,17.09.2022,Auhof Neufeld,CSN-C,Zwentendorf,16.3764014,47.8677623,16.4330201,48.6106026,112.1142,124.7831046,150,50,-10
9,17.09.2022,Bad Zell,CSN-C,Zwentendorf,14.677723924032245,48.35850189999999,16.4330201,48.6106026,177.1024,197.11497119999999,150,50,-10
9,18.09.2022,Waizenkirchen,CSN-C,Zwentendorf,13.8570723,48.329977,16.4330201,48.6106026,265.7341,295.7620533,150,50,-10
10,15.10.2022,St. Margarethen-Stückler,CSN-C,Zwentendorf,14.813442095989808,46.85983155,16.4330201,48.6106026,328.3924,365.5007412,150,50,-10
10,15.10.2022,Rankweil,CSN-C,Zwentendorf,9.63150938085392,47.2731056,16.4330201,48.6106026,670.3945,746.1490785,150,50,-10
10,29.10.2022,Allhartsberg,CSN-C,Zwentendorf,14.80613386465346,48.0322919,16.4330201,48.6106026,179.4172,199.6913436,150,50,-10
3,04.03.2022,Ebreichsdorf,CSI2*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,400,800,-25
4,21.04.2022,Stadl Paura,CSI2*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,400,800,-25
